incident_id,date,incident_type,severity,data_exposed,system_downtime_hours,financial_impact,detection_time_hours,resolution_time_hours,affected_systems,patch_status,employee_awareness_score,third_party_involved,regulatory_compliance_violated,repeated_incident,risk_score
64,2024-05-20 22:11:10.467215,phishing,high,70326,7,273452,28,279,7,up_to_date,6,True,True,False,80
65,2024-05-19 22:11:10.467217,phishing,medium,878879,57,240853,116,259,7,critical_missing,3,True,False,False,27
66,2024-05-18 22:11:10.467219,ddos,high,639282,15,980026,159,107,1,outdated,7,True,False,True,18
67,2024-05-17 22:11:10.467221,phishing,low,220971,71,778883,25,18,4,outdated,5,True,True,True,100
68,2024-05-16 22:11:10.467223,phishing,critical,806481,0,176743,123,295,7,up_to_date,7,False,False,True,86
69,2024-05-15 22:11:10.467225,ddos,high,468933,4,90306,143,305,9,critical_missing,2,True,False,False,19
70,2024-05-14 22:11:10.467237,ddos,high,891793,2,749468,24,170,5,up_to_date,6,False,False,True,12
71,2024-05-13 22:11:10.467239,malware,critical,802514,64,893416,53,330,2,outdated,8,False,False,False,76
72,2024-05-12 22:11:10.467240,insider_threat,high,787093,3,526492,155,194,7,critical_missing,1,True,False,True,42
73,2024-05-11 22:11:10.467242,insider_threat,high,168484,63,92769,72,11,1,up_to_date,4,False,True,False,10
74,2024-05-10 22:11:10.467244,phishing,medium,789352,9,87265,119,194,7,up_to_date,1,False,True,True,47
75,2024-05-09 22:11:10.467246,insider_threat,critical,484410,20,817563,55,282,6,critical_missing,1,False,True,True,14
76,2024-05-08 22:11:10.467248,phishing,low,769666,45,52428,64,181,7,outdated,10,False,True,True,16
77,2024-05-07 22:11:10.467250,malware,high,977819,26,558158,92,304,3,critical_missing,8,False,True,True,53
78,2024-05-06 22:11:10.467252,ddos,critical,341705,65,627835,85,143,3,up_to_date,7,False,True,False,49
79,2024-05-05 22:11:10.467254,ddos,medium,795378,40,760278,79,315,7,up_to_date,10,False,True,True,27
80,2024-05-04 22:11:10.467256,ddos,low,225314,12,49067,107,181,2,up_to_date,1,True,False,True,82
81,2024-05-03 22:11:10.467258,insider_threat,critical,438716,8,976089,117,29,1,up_to_date,2,True,True,True,3
82,2024-05-02 22:11:10.467260,malware,low,759900,35,762371,156,83,9,outdated,4,False,True,False,21
83,2024-05-01 22:11:10.467262,insider_threat,low,802741,57,112217,82,165,9,outdated,1,False,True,True,85
84,2024-04-30 22:11:10.467264,insider_threat,low,579518,53,939111,146,283,7,up_to_date,3,True,False,True,100
85,2024-04-29 22:11:10.467266,malware,high,898254,11,418184,14,280,7,outdated,8,True,True,True,38
86,2024-04-28 22:11:10.467268,malware,high,491872,13,623222,130,95,3,outdated,8,True,True,True,33
87,2024-04-27 22:11:10.467270,malware,medium,516998,33,142980,138,265,2,outdated,8,True,False,True,96
88,2024-04-26 22:11:10.467272,malware,medium,947531,52,943927,29,297,7,up_to_date,6,False,True,False,43
89,2024-04-25 22:11:10.467274,ddos,critical,519984,19,502367,56,295,9,critical_missing,6,False,True,False,41
90,2024-04-24 22:11:10.467276,data_breach,medium,465757,15,336851,145,224,1,critical_missing,5,True,False,False,39
91,2024-04-23 22:11:10.467277,data_breach,low,374484,69,209329,127,332,4,critical_missing,9,True,True,True,96
92,2024-04-22 22:11:10.467279,malware,low,508062,55,257354,47,41,6,up_to_date,4,True,False,False,11
93,2024-04-21 22:11:10.467281,data_breach,high,583609,57,523406,135,302,7,outdated,10,True,True,True,1
94,2024-04-20 22:11:10.467283,data_breach,low,132028,3,61215,21,245,7,outdated,7,False,True,True,27
95,2024-04-19 22:11:10.467285,malware,critical,231447,3,711195,5,207,2,up_to_date,1,True,True,True,73
96,2024-04-18 22:11:10.467287,data_breach,low,860563,19,311573,103,236,4,up_to_date,9,True,False,True,85
97,2024-04-17 22:11:10.467289,insider_threat,low,441124,9,868584,35,21,5,critical_missing,7,True,False,False,80
98,2024-04-16 22:11:10.467291,phishing,critical,995843,23,632336,78,184,1,critical_missing,10,False,False,False,89
99,2024-04-15 22:11:10.467293,phishing,medium,812395,25,169530,115,241,1,up_to_date,9,False,True,False,66
100,2024-04-14 22:11:10.467295,malware,medium,626045,36,177241,56,282,3,critical_missing,7,False,True,True,70
101,2024-04-13 22:11:10.467297,ddos,critical,432659,53,138731,48,40,3,outdated,2,True,False,False,71
102,2024-04-12 22:11:10.467299,malware,high,885691,20,453830,81,335,8,up_to_date,6,True,False,False,83
103,2024-04-11 22:11:10.467301,ddos,low,301207,37,764265,65,161,9,up_to_date,10,True,True,True,75
104,2024-04-10 22:11:10.467302,phishing,critical,376369,45,339384,76,159,1,outdated,4,False,True,False,98
105,2024-04-09 22:11:10.467304,malware,low,378544,3,426009,44,88,2,outdated,3,False,True,True,80
106,2024-04-08 22:11:10.467306,insider_threat,high,342962,59,113688,78,321,2,outdated,2,True,True,False,91
107,2024-04-07 22:11:10.467308,data_breach,low,266847,56,308617,19,11,4,critical_missing,6,True,False,False,9
108,2024-04-06 22:11:10.467310,ddos,critical,720488,44,883194,122,72,2,up_to_date,8,False,True,False,85
109,2024-04-05 22:11:10.467312,data_breach,low,596387,19,744748,66,75,7,critical_missing,6,True,True,True,56
110,2024-04-04 22:11:10.467314,data_breach,medium,419065,16,490834,82,200,9,outdated,9,True,True,False,96
111,2024-04-03 22:11:10.467316,malware,high,687220,70,893388,2,9,7,critical_missing,5,True,True,False,85
112,2024-04-02 22:11:10.467318,data_breach,high,31585,3,380596,63,225,6,outdated,2,False,True,False,36
113,2024-04-01 22:11:10.467320,insider_threat,high,415231,13,711111,39,175,1,critical_missing,8,True,True,False,76
114,2024-03-31 22:11:10.467322,data_breach,critical,995043,2,912743,58,275,9,critical_missing,9,True,True,True,90
115,2024-03-30 22:11:10.467324,malware,high,567873,57,734275,61,38,5,outdated,10,True,False,True,63
116,2024-03-29 22:11:10.467325,insider_threat,medium,289102,54,971758,131,59,5,critical_missing,4,True,False,False,78
117,2024-03-28 22:11:10.467327,phishing,critical,288161,3,269150,59,65,6,up_to_date,6,False,False,False,85
118,2024-03-27 22:11:10.467329,data_breach,medium,994211,23,249243,115,320,9,critical_missing,10,False,True,False,93
119,2024-03-26 22:11:10.467331,malware,low,386821,33,598506,74,123,8,critical_missing,8,False,False,True,39
120,2024-03-25 22:11:10.467333,phishing,low,962854,29,196416,121,163,8,up_to_date,9,True,True,False,100
121,2024-03-24 22:11:10.467335,phishing,low,929705,18,951344,106,158,8,outdated,5,False,True,False,97
122,2024-03-23 22:11:10.467337,ddos,low,815858,30,556718,95,56,1,up_to_date,6,True,True,True,59
123,2024-03-22 22:11:10.467339,insider_threat,medium,279922,59,23091,90,77,1,critical_missing,4,False,True,True,97
124,2024-03-21 22:11:10.467341,data_breach,critical,700601,59,781413,157,193,8,outdated,5,True,False,True,47
125,2024-03-20 22:11:10.467343,malware,critical,42229,18,950487,129,284,5,critical_missing,7,False,True,False,98
126,2024-03-19 22:11:10.467345,ddos,high,86652,48,548277,61,14,9,critical_missing,9,False,True,True,18
127,2024-03-18 22:11:10.467347,insider_threat,medium,914699,62,75451,48,11,2,up_to_date,10,False,False,True,71
128,2024-03-17 22:11:10.467349,ddos,low,249474,21,18990,136,100,9,up_to_date,6,True,False,False,32
129,2024-03-16 22:11:10.467351,insider_threat,medium,703724,23,352414,91,155,8,outdated,6,True,False,True,43
130,2024-03-15 22:11:10.467353,insider_threat,high,912935,29,866792,158,124,9,outdated,8,True,True,False,91
131,2024-03-14 22:11:10.467355,data_breach,high,260116,57,250541,123,279,4,outdated,4,False,False,False,36
132,2024-03-13 22:11:10.467357,insider_threat,medium,871310,30,822513,60,109,1,critical_missing,3,True,True,True,88
133,2024-03-12 22:11:10.467359,ddos,medium,843488,63,666393,47,333,1,up_to_date,7,True,True,False,35
134,2024-03-11 22:11:10.467361,insider_threat,medium,944994,18,370416,152,145,5,up_to_date,5,True,False,True,80
135,2024-03-10 22:11:10.467363,data_breach,critical,520985,47,802673,163,215,2,up_to_date,2,True,False,True,87
136,2024-03-09 22:11:10.467365,data_breach,low,19975,44,124932,135,161,8,outdated,2,True,False,True,20
137,2024-03-08 22:11:10.467367,ddos,medium,157795,54,268083,57,127,5,up_to_date,6,True,True,False,1
138,2024-03-07 22:11:10.467369,phishing,medium,416495,54,113000,100,313,5,up_to_date,8,False,True,True,30
139,2024-03-06 22:11:10.467370,phishing,medium,209373,17,702922,111,331,2,up_to_date,1,False,True,False,96
140,2024-03-05 22:11:10.467372,insider_threat,high,929065,62,559351,61,149,7,outdated,6,True,True,False,29
141,2024-03-04 22:11:10.467374,malware,high,197133,46,493216,38,35,8,up_to_date,2,False,True,False,75
142,2024-03-03 22:11:10.467376,insider_threat,critical,874829,56,732081,57,172,1,outdated,2,False,True,True,43
143,2024-03-02 22:11:10.467378,ddos,low,704513,44,682405,98,21,2,up_to_date,7,True,False,False,11
144,2024-03-01 22:11:10.467380,ddos,critical,295286,32,509850,43,205,4,up_to_date,10,True,True,False,50
145,2024-02-29 22:11:10.467382,ddos,low,813348,16,437985,28,126,5,up_to_date,1,False,False,True,48
146,2024-02-28 22:11:10.467384,ddos,high,588612,69,833550,58,335,2,outdated,6,True,False,True,23
147,2024-02-27 22:11:10.467386,ddos,high,176037,3,84703,70,216,1,outdated,7,False,False,False,23
148,2024-02-26 22:11:10.467388,data_breach,high,388076,19,495164,91,95,9,up_to_date,8,False,False,False,59
149,2024-02-25 22:11:10.467390,phishing,critical,660008,46,414841,8,163,1,critical_missing,7,False,False,True,10
150,2024-02-24 22:11:10.467392,ddos,medium,690493,14,760084,126,147,4,outdated,6,True,True,False,12
151,2024-02-23 22:11:10.467394,malware,medium,968181,69,652845,133,17,2,outdated,9,False,True,False,90
152,2024-02-22 22:11:10.467396,malware,high,620347,46,289220,156,293,4,up_to_date,3,True,True,False,71
153,2024-02-21 22:11:10.467398,malware,medium,622605,8,253317,144,194,8,critical_missing,6,True,True,False,73
154,2024-02-20 22:11:10.467400,malware,medium,725495,15,195877,143,150,8,up_to_date,4,True,False,True,71
155,2024-02-19 22:11:10.467402,data_breach,critical,297190,68,831037,130,122,9,outdated,2,True,False,False,63
156,2024-02-18 22:11:10.467404,malware,low,440280,60,346709,20,186,5,outdated,1,True,False,True,19
157,2024-02-17 22:11:10.467406,ddos,high,101459,9,481725,63,148,7,up_to_date,1,False,True,False,71
158,2024-02-16 22:11:10.467408,insider_threat,high,761985,49,825553,89,103,3,up_to_date,10,True,True,True,72
159,2024-02-15 22:11:10.467409,malware,critical,200422,2,982605,35,242,4,critical_missing,3,True,True,False,70
160,2024-02-14 22:11:10.467411,data_breach,critical,832325,69,817865,61,230,9,critical_missing,4,True,True,True,77
161,2024-02-13 22:11:10.467413,data_breach,medium,101520,50,567597,75,205,1,outdated,2,True,False,False,27
162,2024-02-12 22:11:10.467415,malware,high,912250,18,853900,12,197,2,critical_missing,1,True,False,True,1
163,2024-02-11 22:11:10.467417,insider_threat,low,585560,41,437470,10,86,5,critical_missing,4,False,True,False,42
164,2024-02-10 22:11:10.467419,malware,critical,747512,34,853725,53,141,3,outdated,7,True,True,False,7
165,2024-02-09 22:11:10.467425,data_breach,low,516123,45,358402,15,316,2,outdated,10,True,False,True,12
166,2024-02-08 22:11:10.467427,phishing,low,329793,25,955357,7,198,1,outdated,6,False,False,True,84
167,2024-02-07 22:11:10.467429,ddos,high,326818,68,824837,103,45,3,outdated,6,True,False,True,91
168,2024-02-06 22:11:10.467431,data_breach,high,144832,63,984156,58,287,1,up_to_date,9,False,False,True,34
169,2024-02-05 22:11:10.467433,malware,critical,152999,36,567815,56,14,1,outdated,2,False,True,True,22
170,2024-02-04 22:11:10.467435,ddos,high,348619,48,863659,39,43,1,outdated,4,False,False,False,45
171,2024-02-03 22:11:10.467437,malware,high,61367,20,917996,129,168,8,outdated,5,False,False,True,14
172,2024-02-02 22:11:10.467439,malware,high,753315,63,748778,93,309,3,critical_missing,1,True,False,True,1
173,2024-02-01 22:11:10.467441,phishing,low,405804,4,139883,137,43,1,outdated,8,True,False,False,60
174,2024-01-31 22:11:10.467443,ddos,critical,908182,69,617632,43,97,7,up_to_date,8,False,True,True,75
175,2024-01-30 22:11:10.467445,ddos,medium,757038,3,155344,138,260,3,up_to_date,6,False,True,True,63
176,2024-01-29 22:11:10.467446,phishing,low,235806,38,465226,79,108,8,outdated,5,True,True,True,51
177,2024-01-28 22:11:10.467448,data_breach,high,904586,34,747852,80,282,4,up_to_date,8,False,True,False,35
178,2024-01-27 22:11:10.467450,malware,low,707593,0,571441,1,103,4,critical_missing,3,False,True,True,66
179,2024-01-26 22:11:10.467452,insider_threat,high,44738,23,108042,139,255,5,outdated,3,False,True,False,68
180,2024-01-25 22:11:10.467454,malware,high,557685,56,54110,114,205,6,up_to_date,2,True,False,False,66
181,2024-01-24 22:11:10.467456,malware,low,344333,69,145051,89,334,7,up_to_date,5,False,False,True,46
182,2024-01-23 22:11:10.467458,data_breach,critical,338511,40,765419,22,42,4,outdated,3,True,False,False,82
183,2024-01-22 22:11:10.467460,malware,high,202332,53,763461,145,244,8,up_to_date,3,True,False,True,1
184,2024-01-21 22:11:10.467462,phishing,critical,382729,45,28328,61,286,6,outdated,6,True,True,True,43
185,2024-01-20 22:11:10.467464,phishing,medium,863051,59,637199,112,272,1,up_to_date,8,False,False,True,100
186,2024-01-19 22:11:10.467466,ddos,high,111453,59,275011,127,82,1,critical_missing,2,False,True,True,63
187,2024-01-18 22:11:10.467468,insider_threat,critical,19816,56,59234,61,109,9,up_to_date,4,True,False,True,80
188,2024-01-17 22:11:10.467469,malware,critical,959744,30,812283,37,189,6,up_to_date,7,True,False,False,77
189,2024-01-16 22:11:10.467471,malware,medium,923780,23,817711,165,287,8,outdated,1,True,False,False,27
190,2024-01-15 22:11:10.467473,data_breach,critical,769299,35,772791,60,250,7,up_to_date,1,False,True,False,90
191,2024-01-14 22:11:10.467475,phishing,critical,865962,29,227135,128,211,6,outdated,10,False,False,False,53
192,2024-01-13 22:11:10.467477,insider_threat,medium,416715,23,597690,155,290,4,critical_missing,7,True,True,True,73
193,2024-01-12 22:11:10.467479,ddos,high,371000,29,801881,148,132,7,outdated,7,True,True,True,66
194,2024-01-11 22:11:10.467481,phishing,critical,213567,6,338365,121,200,9,outdated,1,False,False,False,35
195,2024-01-10 22:11:10.467483,ddos,critical,514933,34,875512,109,284,7,up_to_date,1,True,True,True,62
196,2024-01-09 22:11:10.467485,data_breach,critical,595923,54,529739,12,325,1,critical_missing,4,False,True,False,24
197,2024-01-08 22:11:10.467487,data_breach,low,894235,13,87178,154,94,9,outdated,5,False,False,False,85
198,2024-01-07 22:11:10.467489,malware,medium,216184,9,958820,99,277,4,up_to_date,5,True,False,False,47
199,2024-01-06 22:11:10.467491,insider_threat,low,298090,15,980568,134,324,3,up_to_date,4,True,False,False,38
200,2024-01-05 22:11:10.467493,ddos,medium,317348,53,850193,21,218,4,outdated,8,False,False,True,46
201,2024-01-04 22:11:10.467494,phishing,high,182958,69,236562,73,88,4,up_to_date,7,False,False,True,93
202,2024-01-03 22:11:10.467497,data_breach,high,989156,43,301014,131,71,2,outdated,9,False,False,False,20
203,2024-01-02 22:11:10.467499,malware,critical,277707,44,358710,22,246,1,outdated,7,False,True,False,29
204,2024-01-01 22:11:10.467501,malware,medium,92324,55,385893,118,128,1,outdated,10,False,False,False,91
205,2023-12-31 22:11:10.467503,ddos,high,223536,56,123765,69,211,8,critical_missing,1,True,False,False,30
206,2023-12-30 22:11:10.467504,data_breach,medium,757232,20,387025,83,95,2,outdated,7,False,True,False,25
207,2023-12-29 22:11:10.467506,insider_threat,high,271991,67,948377,100,74,5,up_to_date,1,False,False,True,21
208,2023-12-28 22:11:10.467508,data_breach,low,26155,49,128389,83,53,4,critical_missing,7,False,True,False,20
209,2023-12-27 22:11:10.467510,ddos,high,341815,32,713987,160,53,8,up_to_date,10,True,False,False,0
210,2023-12-26 22:11:10.467512,ddos,low,641179,6,197227,27,217,2,critical_missing,8,True,False,True,36
211,2023-12-25 22:11:10.467514,data_breach,high,869742,69,492402,135,15,9,critical_missing,9,False,True,True,76
212,2023-12-24 22:11:10.467516,ddos,critical,460494,14,811804,0,98,7,critical_missing,3,False,False,True,84
213,2023-12-23 22:11:10.467518,data_breach,low,149381,31,790074,164,19,7,critical_missing,4,True,True,True,45
214,2023-12-22 22:11:10.467520,phishing,high,131691,19,260220,62,45,1,up_to_date,4,True,False,True,8
215,2023-12-21 22:11:10.467522,data_breach,critical,476410,14,421217,21,192,2,outdated,9,True,False,True,16
216,2023-12-20 22:11:10.467524,data_breach,low,443324,47,296208,69,57,4,up_to_date,7,True,True,True,46
217,2023-12-19 22:11:10.467526,ddos,critical,34707,70,750186,124,110,4,outdated,3,False,False,True,84
218,2023-12-18 22:11:10.467528,ddos,medium,937841,20,800554,148,128,3,up_to_date,10,True,False,True,94
219,2023-12-17 22:11:10.467530,malware,medium,518477,41,942324,95,193,7,critical_missing,5,False,True,False,58
220,2023-12-16 22:11:10.467532,malware,low,867969,25,68431,162,325,8,critical_missing,7,False,False,True,53
221,2023-12-15 22:11:10.467533,phishing,high,721864,13,55745,78,7,2,outdated,8,True,True,False,85
222,2023-12-14 22:11:10.467535,malware,low,702974,56,50081,4,28,4,outdated,1,True,False,False,11
223,2023-12-13 22:11:10.467537,data_breach,critical,746788,36,988406,59,111,3,up_to_date,2,True,True,False,63
224,2023-12-12 22:11:10.467539,ddos,high,353299,57,926215,119,160,2,outdated,7,True,False,False,5
225,2023-12-11 22:11:10.467541,malware,medium,786713,20,216204,45,130,6,up_to_date,2,False,True,False,52
226,2023-12-10 22:11:10.467543,malware,high,158492,68,936297,133,187,4,outdated,7,False,True,False,15
227,2023-12-09 22:11:10.467545,phishing,medium,474112,2,401415,55,162,6,outdated,9,False,False,False,89
228,2023-12-08 22:11:10.467547,phishing,high,170102,36,600541,109,196,2,outdated,2,True,False,False,4
229,2023-12-07 22:11:10.467549,data_breach,high,394274,48,298335,156,203,4,critical_missing,7,False,True,True,72
230,2023-12-06 22:11:10.467551,ddos,high,217285,18,796643,103,211,6,critical_missing,4,True,False,False,45
231,2023-12-05 22:11:10.467553,phishing,critical,338404,11,111086,76,108,5,up_to_date,2,False,True,False,13
232,2023-12-04 22:11:10.467555,malware,critical,159476,60,456285,145,275,3,outdated,7,True,False,False,43
233,2023-12-03 22:11:10.467556,ddos,low,758842,40,974250,1,72,8,up_to_date,5,False,False,False,62
234,2023-12-02 22:11:10.467559,ddos,low,160928,32,414758,7,166,7,outdated,1,False,True,True,93
235,2023-12-01 22:11:10.467561,malware,medium,664560,49,424528,74,259,3,critical_missing,5,True,True,False,51
236,2023-11-30 22:11:10.467562,phishing,critical,850610,67,438458,124,242,6,critical_missing,3,False,False,True,25
237,2023-11-29 22:11:10.467564,malware,medium,296141,70,888403,37,274,4,outdated,7,False,False,True,52
238,2023-11-28 22:11:10.467566,ddos,low,943115,32,618071,26,101,5,outdated,6,True,False,False,28
239,2023-11-27 22:11:10.467568,insider_threat,medium,643561,23,649969,19,172,5,critical_missing,8,True,False,False,18
240,2023-11-26 22:11:10.467570,insider_threat,low,696595,60,612181,139,170,7,critical_missing,5,True,False,True,46
241,2023-11-25 22:11:10.467572,data_breach,critical,248500,60,972892,42,140,5,up_to_date,2,True,True,False,7
242,2023-11-24 22:11:10.467574,malware,high,690417,27,499797,30,187,3,critical_missing,9,True,False,False,22
243,2023-11-23 22:11:10.467576,malware,critical,132311,57,158763,90,85,5,outdated,8,False,False,True,34
244,2023-11-22 22:11:10.467578,data_breach,medium,759034,42,602248,60,51,7,up_to_date,6,True,True,True,94
245,2023-11-21 22:11:10.467580,data_breach,medium,245546,40,870820,108,110,5,outdated,10,False,True,False,52
246,2023-11-20 22:11:10.467582,data_breach,critical,196733,38,22601,90,42,5,up_to_date,7,False,True,False,98
247,2023-11-19 22:11:10.467583,ddos,critical,651233,48,411236,162,210,9,outdated,9,True,False,False,95
248,2023-11-18 22:11:10.467585,malware,low,569560,16,139227,94,199,3,critical_missing,7,False,True,True,57
249,2023-11-17 22:11:10.467587,ddos,medium,875825,69,724479,142,297,6,outdated,3,False,True,False,4
250,2023-11-16 22:11:10.467589,data_breach,medium,847644,69,998555,143,239,1,up_to_date,6,True,True,True,15
251,2023-11-15 22:11:10.467592,malware,critical,146470,64,692137,12,114,5,outdated,7,False,True,True,16
252,2023-11-14 22:11:10.467594,ddos,high,644318,4,281854,112,25,8,up_to_date,2,True,False,False,31
253,2023-11-13 22:11:10.467596,ddos,medium,318647,1,370858,34,298,5,outdated,3,True,False,True,95
254,2023-11-12 22:11:10.467598,data_breach,high,924142,21,679892,148,76,9,critical_missing,4,True,False,False,51
255,2023-11-11 22:11:10.467599,malware,critical,6570,56,653015,157,136,6,critical_missing,10,False,True,False,19
